"","Date","Type","Name","Active_Cases","Cumulative_Active_cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","All_Faculty_Staff_Total","All_Student_Total","Cumulative_Group_Total"
"1831",2021-08-26,"PUBLIC SCHOOL DISTRICT","VALLEY SPRINGS SCHOOL DIST",5,NA,NA,NA,12,NA,NA,NA
"1841",2021-08-26,"PUBLIC SCHOOL DISTRICT","TOTAL",3102,NA,770,4072,5898,NA,NA,NA
"1851",2021-08-26,"PUBLIC SCHOOL DISTRICT","NUMBER OF SCHOOLS LISTED: 173",NA,NA,NA,NA,NA,NA,NA,NA
"1861",2021-08-26,"PRIVATE SCHOOL","PRIVATE SCHOOL",NA,NA,NA,NA,22,NA,NA,NA
"1871",2021-08-26,"PRIVATE SCHOOL","ST. JOSEPH CATHOLIC SCHOOL, CONWAY",14,NA,NA,NA,NA,NA,NA,NA
"1891",2021-08-26,"PRIVATE SCHOOL","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",7,NA,NA,NA,16,NA,NA,NA
"1901",2021-08-26,"PRIVATE SCHOOL","TOTAL",21,NA,NA,NA,38,NA,NA,NA
"1911",2021-08-26,"COLLEGE/UNIVERSITY","COLLEGE/UNIVERSITY",NA,NA,NA,NA,NA,NA,NA,NA
"1921",2021-08-26,"COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",82,NA,34,45,152,NA,NA,NA
"1931",2021-08-26,"COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",43,NA,15,33,92,NA,NA,NA
"1941",2021-08-26,"COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",23,NA,NA,NA,66,NA,NA,NA
"1951",2021-08-26,"COLLEGE/UNIVERSITY","U OF A, PINE BLUFF",21,NA,5,9,30,NA,NA,NA
"1961",2021-08-26,"COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",18,NA,5,16,30,NA,NA,NA
"1971",2021-08-26,"COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",16,NA,NA,NA,35,NA,NA,NA
"1981",2021-08-26,"COLLEGE/UNIVERSITY","HENDERSON STATE UNIVERSITY, ARKADELPHIA",15,NA,5,11,25,NA,NA,NA
"1991",2021-08-26,"COLLEGE/UNIVERSITY","NATIONAL PARK COLLEGE, HOT SPRINGS",12,NA,NA,NA,20,NA,NA,NA
"2001",2021-08-26,"COLLEGE/UNIVERSITY","U OF A, FORT SMITH",11,NA,6,11,28,NA,NA,NA
"2011",2021-08-26,"COLLEGE/UNIVERSITY","U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",9,NA,NA,NA,21,NA,NA,NA
"2021",2021-08-26,"COLLEGE/UNIVERSITY","UACC AT MORRILTON",9,NA,NA,NA,13,NA,NA,NA
"2031",2021-08-26,"COLLEGE/UNIVERSITY","ASU THREE RIVERS, MALVERN",8,NA,NA,NA,10,NA,NA,NA
"2041",2021-08-26,"COLLEGE/UNIVERSITY","NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",8,NA,NA,NA,24,NA,NA,NA
"2051",2021-08-26,"COLLEGE/UNIVERSITY","ASU - NEWPORT, JONESBORO",7,NA,NA,NA,12,NA,NA,NA
"206",2021-08-26,"COLLEGE/UNIVERSITY","LYON COLLEGE, BATESVILLE",7,NA,NA,NA,21,NA,NA,NA
"2081",2021-08-26,"COLLEGE/UNIVERSITY","UACC AT HOPE-TEXARKANA, HOPE",7,NA,NA,NA,8,NA,NA,NA
"2091",2021-08-26,"COLLEGE/UNIVERSITY","SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",6,NA,NA,NA,11,NA,NA,NA
"2101",2021-08-26,"COLLEGE/UNIVERSITY","U OF A, MONTICELLO",6,NA,NA,NA,12,NA,NA,NA
"2111",2021-08-26,"COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",5,NA,5,15,20,NA,NA,NA
"2121",2021-08-26,"COLLEGE/UNIVERSITY","ASU MID-SOUTH, WEST MEMPHIS",5,NA,NA,NA,7,NA,NA,NA
"2131",2021-08-26,"COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",5,NA,0,6,9,NA,NA,NA
"2141",2021-08-26,"COLLEGE/UNIVERSITY","HENDRIX COLLEGE, CONWAY",5,NA,NA,NA,8,NA,NA,NA
"2151",2021-08-26,"COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",5,NA,7,5,17,NA,NA,NA
"2161",2021-08-26,"COLLEGE/UNIVERSITY","U OF A, LITTLE ROCK",5,NA,NA,NA,18,NA,NA,NA
"2171",2021-08-26,"COLLEGE/UNIVERSITY","TOTAL",338,NA,122,253,689,NA,NA,NA
"2181",2021-08-26,"COLLEGE/UNIVERSITY","NUMBER OF SCHOOLS LISTED: 24",NA,NA,NA,NA,NA,NA,NA,NA
"2231",2021-08-26,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",NA,250,NA,NA,NA,98,362,552
"2241",2021-08-26,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",NA,45,NA,NA,NA,36,95,142
"225",2021-08-26,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",NA,66,NA,NA,NA,24,98,146
"2301",2021-08-26,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",NA,3352,NA,NA,NA,868,4434,6450
"2311",2021-08-26,"Totals for all schools.","PRIVATE SCHOOLS",NA,66,NA,NA,NA,38,121,180
"2321",2021-08-26,"Totals for all schools.","COLLEGES/UNIVERSITIES",NA,404,NA,NA,NA,146,351,835
"1100",2021-08-23,"PUBLIC SCHOOL DISTRICT","PUBLIC SCHOOL DISTRICT",NA,NA,NA,NA,NA,NA,NA,NA
"236",2021-08-23,"PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",88,NA,24,113,162,NA,NA,NA
"310",2021-08-23,"PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",74,NA,23,76,132,NA,NA,NA
"412",2021-08-23,"PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",70,NA,38,76,133,NA,NA,NA
"510",2021-08-23,"PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",59,NA,12,75,116,NA,NA,NA
"612",2021-08-23,"PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",59,NA,19,90,118,NA,NA,NA
"710",2021-08-23,"PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",56,NA,16,81,117,NA,NA,NA
"812",2021-08-23,"PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",53,NA,12,102,155,NA,NA,NA
"912",2021-08-23,"PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",41,NA,5,52,59,NA,NA,NA
"1012",2021-08-23,"PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",35,NA,8,55,72,NA,NA,NA
"1112",2021-08-23,"PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",32,NA,NA,NA,54,NA,NA,NA
"1212",2021-08-23,"PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",32,NA,14,33,54,NA,NA,NA
"1311",2021-08-23,"PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",28,NA,5,29,44,NA,NA,NA
"1412",2021-08-23,"PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",27,NA,8,37,55,NA,NA,NA
"1512",2021-08-23,"PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",26,NA,10,29,45,NA,NA,NA
"1610",2021-08-23,"PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",26,NA,NA,NA,40,NA,NA,NA
"1810",2021-08-23,"PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",24,NA,9,39,62,NA,NA,NA
"1912",2021-08-23,"PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",24,NA,10,53,64,NA,NA,NA
"2012",2021-08-23,"PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",24,NA,10,68,86,NA,NA,NA
"2112",2021-08-23,"PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",23,NA,11,46,67,NA,NA,NA
"2211",2021-08-23,"PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",19,NA,7,23,38,NA,NA,NA
"237",2021-08-23,"PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",18,NA,NA,NA,44,NA,NA,NA
"242",2021-08-23,"PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",18,NA,NA,NA,28,NA,NA,NA
"252",2021-08-23,"PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",17,NA,NA,NA,28,NA,NA,NA
"262",2021-08-23,"PUBLIC SCHOOL DISTRICT","LISA ACADEMY",17,NA,NA,NA,31,NA,NA,NA
"272",2021-08-23,"PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",16,NA,5,22,29,NA,NA,NA
"282",2021-08-23,"PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",16,NA,10,12,27,NA,NA,NA
"292",2021-08-23,"PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",16,NA,12,36,51,NA,NA,NA
"302",2021-08-23,"PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",16,NA,6,18,26,NA,NA,NA
"312",2021-08-23,"PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",15,NA,NA,NA,17,NA,NA,NA
"322",2021-08-23,"PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",15,NA,7,12,25,NA,NA,NA
"332",2021-08-23,"PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",15,NA,NA,NA,21,NA,NA,NA
"342",2021-08-23,"PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",15,NA,5,6,21,NA,NA,NA
"352",2021-08-23,"PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",14,NA,NA,NA,18,NA,NA,NA
"372",2021-08-23,"PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",14,NA,NA,NA,27,NA,NA,NA
"382",2021-08-23,"PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",14,NA,6,46,54,NA,NA,NA
"392",2021-08-23,"PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",14,NA,0,22,23,NA,NA,NA
"402",2021-08-23,"PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",14,NA,7,6,16,NA,NA,NA
"413",2021-08-23,"PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",13,NA,NA,NA,27,NA,NA,NA
"422",2021-08-23,"PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",13,NA,NA,NA,26,NA,NA,NA
"432",2021-08-23,"PUBLIC SCHOOL DISTRICT","KIPP DELTA PUBLIC SCHOOL DIST",13,NA,NA,NA,21,NA,NA,NA
"442",2021-08-23,"PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",12,NA,5,28,35,NA,NA,NA
"452",2021-08-23,"PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",12,NA,NA,NA,17,NA,NA,NA
"462",2021-08-23,"PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",12,NA,NA,NA,32,NA,NA,NA
"472",2021-08-23,"PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",12,NA,11,28,43,NA,NA,NA
"482",2021-08-23,"PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",12,NA,7,12,23,NA,NA,NA
"492",2021-08-23,"PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",11,NA,0,8,12,NA,NA,NA
"502",2021-08-23,"PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",11,NA,NA,NA,23,NA,NA,NA
"512",2021-08-23,"PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",11,NA,NA,NA,18,NA,NA,NA
"522",2021-08-23,"PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",11,NA,NA,NA,25,NA,NA,NA
"532",2021-08-23,"PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",11,NA,NA,NA,12,NA,NA,NA
"542",2021-08-23,"PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",11,NA,6,23,29,NA,NA,NA
"562",2021-08-23,"PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",11,NA,NA,NA,14,NA,NA,NA
"572",2021-08-23,"PUBLIC SCHOOL DISTRICT","PINE BLUFF SCHOOL DIST",11,NA,NA,NA,19,NA,NA,NA
"582",2021-08-23,"PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",11,NA,5,11,21,NA,NA,NA
"592",2021-08-23,"PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",10,NA,5,9,16,NA,NA,NA
"602",2021-08-23,"PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",10,NA,NA,NA,17,NA,NA,NA
"613",2021-08-23,"PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",10,NA,NA,NA,17,NA,NA,NA
"622",2021-08-23,"PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",10,NA,NA,NA,24,NA,NA,NA
"632",2021-08-23,"PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",10,NA,NA,NA,15,NA,NA,NA
"642",2021-08-23,"PUBLIC SCHOOL DISTRICT","STAR CITY SCHOOL DIST",10,NA,NA,NA,20,NA,NA,NA
"652",2021-08-23,"PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",10,NA,NA,NA,16,NA,NA,NA
"662",2021-08-23,"PUBLIC SCHOOL DISTRICT","WATSON CHAPEL SCHOOL DIST",10,NA,NA,NA,15,NA,NA,NA
"672",2021-08-23,"PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",9,NA,NA,NA,18,NA,NA,NA
"682",2021-08-23,"PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",9,NA,6,9,23,NA,NA,NA
"692",2021-08-23,"PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",9,NA,NA,NA,17,NA,NA,NA
"702",2021-08-23,"PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",9,NA,NA,NA,12,NA,NA,NA
"712",2021-08-23,"PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",9,NA,5,5,14,NA,NA,NA
"722",2021-08-23,"PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",9,NA,NA,NA,18,NA,NA,NA
"732",2021-08-23,"PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",9,NA,NA,NA,13,NA,NA,NA
"752",2021-08-23,"PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",9,NA,NA,NA,12,NA,NA,NA
"762",2021-08-23,"PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",9,NA,0,11,13,NA,NA,NA
"772",2021-08-23,"PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",8,NA,NA,NA,11,NA,NA,NA
"782",2021-08-23,"PUBLIC SCHOOL DISTRICT","COUNTY LINE SCHOOL DIST",8,NA,NA,NA,10,NA,NA,NA
"792",2021-08-23,"PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",8,NA,NA,NA,15,NA,NA,NA
"802",2021-08-23,"PUBLIC SCHOOL DISTRICT","HOT SPRINGS SCHOOL DIST",8,NA,NA,NA,16,NA,NA,NA
"813",2021-08-23,"PUBLIC SCHOOL DISTRICT","HOXIE SCHOOL DIST",8,NA,0,8,8,NA,NA,NA
"822",2021-08-23,"PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",8,NA,6,11,22,NA,NA,NA
"832",2021-08-23,"PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",8,NA,NA,NA,36,NA,NA,NA
"842",2021-08-23,"PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",8,NA,NA,NA,17,NA,NA,NA
"852",2021-08-23,"PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",8,NA,5,9,16,NA,NA,NA
"862",2021-08-23,"PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",8,NA,0,15,15,NA,NA,NA
"872",2021-08-23,"PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",8,NA,NA,NA,12,NA,NA,NA
"882",2021-08-23,"PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",7,NA,NA,NA,14,NA,NA,NA
"892",2021-08-23,"PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",7,NA,NA,NA,11,NA,NA,NA
"902",2021-08-23,"PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",7,NA,NA,NA,11,NA,NA,NA
"913",2021-08-23,"PUBLIC SCHOOL DISTRICT","DOVER SCHOOL DIST",7,NA,NA,NA,10,NA,NA,NA
"922",2021-08-23,"PUBLIC SCHOOL DISTRICT","EMERSON",7,NA,NA,NA,7,NA,NA,NA
"942",2021-08-23,"PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",7,NA,6,11,18,NA,NA,NA
"952",2021-08-23,"PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",7,NA,NA,NA,9,NA,NA,NA
"962",2021-08-23,"PUBLIC SCHOOL DISTRICT","SEARCY COUNTY SCHOOL DIST",7,NA,NA,NA,15,NA,NA,NA
"972",2021-08-23,"PUBLIC SCHOOL DISTRICT","VALLEY SPRINGS SCHOOL DIST",7,NA,NA,NA,11,NA,NA,NA
"982",2021-08-23,"PUBLIC SCHOOL DISTRICT","WARREN SCHOOL DIST",7,NA,NA,NA,13,NA,NA,NA
"992",2021-08-23,"PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",7,NA,NA,NA,10,NA,NA,NA
"1002",2021-08-23,"PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",6,NA,0,19,30,NA,NA,NA
"1013",2021-08-23,"PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",6,NA,NA,NA,11,NA,NA,NA
"1022",2021-08-23,"PUBLIC SCHOOL DISTRICT","CARLISLE SCHOOL DIST",6,NA,5,7,16,NA,NA,NA
"1032",2021-08-23,"PUBLIC SCHOOL DISTRICT","ENGLAND SCHOOL DIST",6,NA,NA,NA,6,NA,NA,NA
"1042",2021-08-23,"PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",6,NA,NA,NA,10,NA,NA,NA
"1052",2021-08-23,"PUBLIC SCHOOL DISTRICT","FOUNTAIN LAKE SCHOOL DIST",6,NA,NA,NA,10,NA,NA,NA
"1062",2021-08-23,"PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",6,NA,NA,NA,12,NA,NA,NA
"1072",2021-08-23,"PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",6,NA,NA,NA,19,NA,NA,NA
"1082",2021-08-23,"PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",6,NA,NA,NA,8,NA,NA,NA
"1092",2021-08-23,"PUBLIC SCHOOL DISTRICT","OUACHITA SCHOOL DIST",6,NA,NA,NA,8,NA,NA,NA
"1102",2021-08-23,"PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",6,NA,6,12,19,NA,NA,NA
"1113",2021-08-23,"PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",6,NA,NA,NA,20,NA,NA,NA
"1132",2021-08-23,"PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",6,NA,NA,NA,8,NA,NA,NA
"1142",2021-08-23,"PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",5,NA,NA,NA,11,NA,NA,NA
"1152",2021-08-23,"PUBLIC SCHOOL DISTRICT","ARKANSAS CONNECTIONS ACADEMY",5,NA,0,7,7,NA,NA,NA
"1162",2021-08-23,"PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",5,NA,NA,NA,10,NA,NA,NA
"1172",2021-08-23,"PUBLIC SCHOOL DISTRICT","CADDO HILLS SCHOOL DIST",5,NA,NA,NA,10,NA,NA,NA
"1182",2021-08-23,"PUBLIC SCHOOL DISTRICT","CEDAR RIDGE SCHOOL DIST",5,NA,NA,NA,6,NA,NA,NA
"1192",2021-08-23,"PUBLIC SCHOOL DISTRICT","CLARENDON SCHOOL DIST",5,NA,NA,NA,7,NA,NA,NA
"1202",2021-08-23,"PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",5,NA,0,6,7,NA,NA,NA
"1213",2021-08-23,"PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",5,NA,0,6,7,NA,NA,NA
"1222",2021-08-23,"PUBLIC SCHOOL DISTRICT","DUMAS SCHOOL DIST",5,NA,NA,NA,9,NA,NA,NA
"1232",2021-08-23,"PUBLIC SCHOOL DISTRICT","EAST POINSETT CO. SCHOOL DIST",5,NA,NA,NA,6,NA,NA,NA
"1242",2021-08-23,"PUBLIC SCHOOL DISTRICT","EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",5,NA,0,7,8,NA,NA,NA
"1252",2021-08-23,"PUBLIC SCHOOL DISTRICT","GURDON SCHOOL DIST",5,NA,0,10,18,NA,NA,NA
"1262",2021-08-23,"PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",5,NA,0,7,9,NA,NA,NA
"1272",2021-08-23,"PUBLIC SCHOOL DISTRICT","JACKSONVILLE LIGHTHOUSE CHARTER",5,NA,NA,NA,6,NA,NA,NA
"1282",2021-08-23,"PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",5,NA,0,7,9,NA,NA,NA
"1292",2021-08-23,"PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",5,NA,NA,NA,10,NA,NA,NA
"1302",2021-08-23,"PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",5,NA,NA,NA,7,NA,NA,NA
"1322",2021-08-23,"PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",5,NA,NA,NA,10,NA,NA,NA
"1332",2021-08-23,"PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",5,NA,NA,NA,12,NA,NA,NA
"1342",2021-08-23,"PUBLIC SCHOOL DISTRICT","PARIS SCHOOL DIST",5,NA,NA,NA,8,NA,NA,NA
"1352",2021-08-23,"PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",5,NA,NA,NA,8,NA,NA,NA
"1362",2021-08-23,"PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",5,NA,NA,NA,21,NA,NA,NA
"1372",2021-08-23,"PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",5,NA,0,7,12,NA,NA,NA
"1382",2021-08-23,"PUBLIC SCHOOL DISTRICT","TOTAL",1801,NA,532,2432,3538,NA,NA,NA
"1392",2021-08-23,"PUBLIC SCHOOL DISTRICT","NUMBER OF SCHOOLS LISTED: 129",NA,NA,NA,NA,NA,NA,NA,NA
"1402",2021-08-23,"PRIVATE SCHOOL","PRIVATE SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA
"1413",2021-08-23,"PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",7,NA,0,6,9,NA,NA,NA
"1422",2021-08-23,"PRIVATE SCHOOL","TOTAL",7,NA,0,6,9,NA,NA,NA
"1432",2021-08-23,"PUBLIC SCHOOL DISTRICT","COLLEGE/UNIVERSITY",NA,NA,NA,NA,NA,NA,NA,NA
"1442",2021-08-23,"PUBLIC SCHOOL DISTRICT","U OF A, FAYETTEVILLE",37,NA,30,30,95,NA,NA,NA
"1452",2021-08-23,"PUBLIC SCHOOL DISTRICT","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",26,NA,15,19,65,NA,NA,NA
"1462",2021-08-23,"PUBLIC SCHOOL DISTRICT","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",19,NA,NA,NA,58,NA,NA,NA
"1472",2021-08-23,"PUBLIC SCHOOL DISTRICT","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",17,NA,NA,NA,34,NA,NA,NA
"1482",2021-08-23,"PUBLIC SCHOOL DISTRICT","HENDERSON STATE UNIVERSITY, ARKADELPHIA",13,NA,5,7,20,NA,NA,NA
"150",2021-08-23,"PUBLIC SCHOOL DISTRICT","LYON COLLEGE, BATESVILLE",11,NA,NA,NA,19,NA,NA,NA
"1513",2021-08-23,"PUBLIC SCHOOL DISTRICT","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",10,NA,NA,NA,18,NA,NA,NA
"1522",2021-08-23,"PUBLIC SCHOOL DISTRICT","U OF A, FORT SMITH",9,NA,5,8,19,NA,NA,NA
"1532",2021-08-23,"PUBLIC SCHOOL DISTRICT","U OF A, PINE BLUFF",9,NA,NA,NA,14,NA,NA,NA
"1542",2021-08-23,"PUBLIC SCHOOL DISTRICT","U OF A, MONTICELLO",8,NA,0,7,11,NA,NA,NA
"1552",2021-08-23,"PUBLIC SCHOOL DISTRICT","U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",8,NA,NA,NA,16,NA,NA,NA
"1562",2021-08-23,"PUBLIC SCHOOL DISTRICT","NATIONAL PARK COLLEGE, HOT SPRINGS",5,NA,NA,NA,11,NA,NA,NA
"1572",2021-08-23,"PUBLIC SCHOOL DISTRICT","UACC AT MORRILTON",5,NA,NA,NA,6,NA,NA,NA
"1582",2021-08-23,"PUBLIC SCHOOL DISTRICT","TOTAL",177,NA,87,135,386,NA,NA,NA
"1592",2021-08-23,"PUBLIC SCHOOL DISTRICT","NUMBER OF SCHOOLS LISTED: 13",NA,NA,NA,NA,NA,NA,NA,NA
"1642",2021-08-23,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",NA,290,NA,NA,NA,125,441,618
"1652",2021-08-23,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",NA,42,NA,NA,NA,27,85,121
"1662",2021-08-23,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",NA,70,NA,NA,NA,44,122,202
"1712",2021-08-23,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",NA,2091,NA,NA,NA,657,2873,4156
"1722",2021-08-23,"Totals for all schools.","PRIVATE SCHOOLS",NA,49,NA,NA,NA,27,91,130
"1732",2021-08-23,"Totals for all schools.","COLLEGES/UNIVERSITIES",NA,247,NA,NA,NA,131,257,588
"1103",2021-08-19,"PUBLIC SCHOOL DISTRICT","PUBLIC SCHOOL DISTRICT",NA,NA,NA,NA,NA,NA,NA,NA
"243",2021-08-19,"PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",84,NA,16,86,126,NA,NA,NA
